Country/Territory,GDP,Pray_Daily,Continent
Ireland,78785.0,19.0,Europe
Norway,74356.0,18.0,Europe
Switzerland,64649.0,8.0,Europe
United States,62606.0,55.0,North America
Netherlands,56383.0,20.0,Europe
Sweden,52984.0,11.0,Europe
Germany,52559.0,9.0,Europe
Australia,52373.0,18.0,Oceania
Austria,52137.0,8.0,Europe
Denmark,52121.0,10.0,Europe
Canada,49651.0,25.0,North America
Belgium,48245.0,11.0,Europe
Finland,46430.0,18.0,Europe
France,45775.0,10.0,Europe
United Kingdom,45705.0,6.0,Europe
Japan,44227.0,33.0,Asia
Spain,40139.0,23.0,Europe
Puerto Rico,39737.0,67.0,North America
Italy,39637.0,21.0,Europe
Israel,37972.0,27.0,Asia
Czech Republic,37371.0,9.0,Europe
Slovakia,35130.0,31.0,Europe
Lithuania,34826.0,15.0,Europe
Estonia,34096.0,9.0,Europe
Portugal,32006.0,38.0,Europe
Poland,31939.0,29.0,Europe
Hungary,31903.0,16.0,Europe
Malaysia,30860.0,61.0,Asia
Latvia,29901.0,18.0,Europe
Russia,29267.0,18.0,Asia
Russia,29267.0,18.0,Europe
Greece,29123.0,30.0,Europe
Turkey,27956.0,60.0,Asia
Turkey,27956.0,60.0,Europe
Kazakhstan,27550.0,20.0,Asia
Kazakhstan,27550.0,20.0,Europe
Romania,26447.0,45.0,Europe
Croatia,26221.0,41.0,Europe
Chile,25978.0,39.0,South America
Panama,25674.0,69.0,North America
Uruguay,23274.0,29.0,South America
Bulgaria,23156.0,15.0,Europe
Mexico,20602.0,40.0,North America
Argentina,20537.0,40.0,South America
Belarus,20003.0,25.0,Europe
Iran,19557.0,87.0,Asia
China,18110.0,1.0,Asia
Azerbaijan,18076.0,76.0,Asia
Azerbaijan,18076.0,76.0,Europe
Botswana,17965.0,66.0,Africa
Iraq,17659.0,87.0,Asia
Costa Rica,17559.0,78.0,North America
Serbia,17555.0,27.0,Europe
Brazil,16154.0,61.0,South America
Algeria,15440.0,88.0,Africa
Colombia,14943.0,73.0,South America
Lebanon,14684.0,51.0,Asia
Peru,14224.0,51.0,South America
South Africa,13675.0,52.0,Africa
Paraguay,13395.0,82.0,South America
Egypt,13366.0,72.0,Africa
Albania,13345.0,15.0,Europe
Indonesia,13230.0,84.0,Asia
Tunisia,12372.0,67.0,Africa
Ecuador,11718.0,63.0,South America
Kosovo,11552.0,54.0,Europe
Georgia,11485.0,38.0,Asia
Georgia,11485.0,38.0,Europe
Armenia,10176.0,45.0,Asia
Armenia,10176.0,45.0,Europe
Jordan,9433.0,76.0,Asia
Ukraine,9283.0,30.0,Europe
Philippines,8936.0,82.0,Asia
Morocco,8933.0,80.0,Africa
Guatemala,8436.0,82.0,North America
El Salvador,8041.0,77.0,North America
India,7874.0,75.0,Asia
Uzbekistan,7665.0,26.0,Asia
Vietnam,7510.0,14.0,Asia
Bolivia,7477.0,56.0,South America
Moldova,7305.0,49.0,Europe
Ghana,6452.0,76.0,Africa
Nigeria,6027.0,95.0,Africa
Nicaragua,5683.0,75.0,North America
Pakistan,5680.0,67.0,Asia
Honduras,5212.0,78.0,North America
Bangladesh,4978.0,57.0,Asia
Zambia,4104.0,78.0,Africa
Kyrgyzstan,3844.0,24.0,Asia
Cameroon,3828.0,82.0,Africa
Djibouti,3786.0,87.0,Africa
Kenya,3691.0,79.0,Africa
Senegal,3651.0,88.0,Africa
Tanzania,3444.0,56.0,Africa
Tajikistan,3415.0,48.0,Asia
Uganda,2498.0,66.0,Africa
Chad,2415.0,83.0,Africa
Mali,2384.0,81.0,Africa
Ethiopia,2332.0,65.0,Africa
Rwanda,2280.0,62.0,Africa
Afghanistan,2017.0,96.0,Asia
Guinea-Bissau,1937.0,83.0,Africa
Liberia,1418.0,80.0,Africa
Mozambique,1291.0,68.0,Africa
Niger,1217.0,87.0,Africa
